Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Cluster
Rwanda,RWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9674591955076,7.11727140020964,14.7447111190961,3.11842935701232,7.76225939605696,12.2801697464814,140.771552792972,12.1962128958388,0.0,0.0,0.0,2
Samoa,WSM,High-technology exports (current US$),TX.VAL.TECH.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183567.0,591471.0,365979.0,114963.0,210811.0,429821.0,146345.0,171154.0,74642.0,142117.0,0.0,2
Samoa,WSM,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,0.3048155265,0.2431729991,0.1059882561,0.1015164863,0.1250394989,0.413987643,0.4873046699,0.679251398,0.242691074,0.996528265,0.5126037957,0.1393544652,0.629590516,0.3663375203,0.2028626609,0.1334338892,0.1362710315,0.3199611934,0.0,2
Samoa,WSM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,30.130567757,3.4767648571,3.6747332744,2.3722351743,20.379893946,7.4332686435,3.4782424834,2.6256057783,1.2944442481,2.3748819739,2.761717557,2.7411207048,2.7137482483,3.7606688061,3.6751200153,4.6171483859,3.3806190301,3.6074038904,0.0,2
Samoa,WSM,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.745564194519715,4.93355410834567,4.23013117408253,4.10578719097209,3.6726994964537267,3.342868695552671,3.1317936756663314,3.10738481846489,3.70104541325892,2.74037429763426,2.864635491857257,6.20048776692076,7.85725110721936,80.2848864705446,0.0,0.0,2
Samoa,WSM,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2604071.15054131,6398344.95755241,5867811.56972608,6893782.953233,62023130.7004729,5417271.98516911,5381391.34899914,5634789.34828681,7068753.73068327,56505810.5911492,5684231.46237959,12254024.1394483,16656920.3432455,19352707.1024683,0.0,0.0,2
Samoa,WSM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573528853515612,1.26970754099644,10.2979303095693,0.300183160216387,0.692707016913656,1.96712309808673,0.814001911954745,10.2018634253057,1.3826653531944753,30.9448346380432,0.0,2
San Marino,SMR,High-technology exports (current US$),TX.VAL.TECH.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
San Marino,SMR,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
San Marino,SMR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
